id,name,description,itemid,members,buylimit,highalch
711,Pastry dough,Potentially pastry.,1953,False,0,1
712,Cooking apple,Keeps the doctor away.,1955,False,0,1
713,Onion,A strong smelling onion.,1957,False,0,2
714,Pumpkin,Happy Halloween.,1959,False,0,18
715,Easter egg,Happy Easter.,1961,False,0,6
716,Banana,Mmm this looks tasty.,1963,False,0,1
717,Cabbage,Yuck I don't like cabbage.,1965,False,0,1
718,Spinach roll,A home made spinach thing.,1969,False,0,1
719,Kebab,A meaty kebab.,1971,False,0,2
720,Chocolate bar,Mmmmmmm chocolate.,1973,False,13000,6
721,Chocolate dust,It's ground up chocolate.,1975,False,13000,1
722,Cup of tea,A nice cup of tea.,1978,True,0,6
723,Empty cup,An empty cup.,1980,True,0,1
724,Tomato,This would make good ketchup.,1982,False,0,2
725,Cheese,It's got holes in it.,1985,False,0,2
726,Grapes,Good grapes for wine making.,1987,False,13000,1
727,Half full wine jug,An optimist would say it's half full.,1989,False,0,1
728,Jug of wine,It's full of wine.,1993,False,6000,1
729,Stew,It's a meat and potato stew.,2003,False,0,12
730,Spice,This could liven up an otherwise bland stew.,2007,True,0,138
731,Curry,It's a spicy hot curry.,2011,True,0,12
732,Vodka,An absolutely clear spirit.,2015,True,0,3
733,Whisky,A bottle of Draynor Malt.,2017,True,0,3
734,Gin,A strong spirit that tastes of Juniper.,2019,True,0,3
735,Brandy,A strong spirit best served in a large glass.,2021,True,0,3
736,Cocktail guide,A book on tree gnome cocktails.,2023,True,0,1
737,Cocktail shaker,Used for mixing cocktails.,2025,True,0,1
738,Cocktail glass,For sipping cocktails.,2026,True,0,1
739,Premade blurb' sp.,A premade Blurberry Special,2028,True,0,18
740,Premade choc s'dy,A premade Chocolate Saturday.,2030,True,0,18
741,Premade dr' dragon,A premade Drunk Dragon.,2032,True,0,18
742,Premade fr' blast,A premade Fruit Blast.,2034,True,0,18
743,Premade p' punch,A premade Pineapple punch.,2036,True,0,18
744,Premade sgg,A premade Short Green Guy.,2038,True,0,18
745,Premade wiz blz'd,A Premade Wizard Blizzard.,2040,True,0,18
746,Pineapple punch,A fresh healthy fruit mix.,2048,True,0,18
747,Wizard blizzard,This looks like a strange mix.,2054,True,0,18
748,Blurberry special,Looks good... smells strong.,2064,True,0,18
749,Choc saturday,A warm creamy alcoholic beverage.,2074,True,0,18
750,Short green guy,A Short Green Guy... looks good.,2080,True,0,18
751,Fruit blast,A cool refreshing fruit mix.,2084,True,0,18
752,Drunk dragon,A warm creamy alcoholic beverage.,2092,True,0,18
753,Lemon,A fresh lemon.,2102,True,0,1
754,Lemon chunks,Fresh chunks of lemon.,2104,True,0,1
755,Lemon slices,Fresh lemon slices.,2106,True,0,1
756,Orange,A fresh orange.,2108,True,0,1
757,Orange chunks,Fresh chunks of orange.,2110,True,0,1
758,Orange slices,Fresh orange slices.,2112,True,0,1
759,Pineapple,It can be cut up into something more manageable with a knife.,2114,True,0,1
760,Pineapple chunks,Fresh chunks of pineapple.,2116,True,0,1
761,Pineapple ring,Exotic fruit.,2118,True,0,1
762,Lime,A fresh lime.,2120,True,0,1
763,Lime chunks,Fresh chunks of lime.,2122,True,0,1
764,Lime slices,Fresh lime slices.,2124,True,0,1
765,Dwellberries,Some rather pretty blue berries.,2126,True,0,2
766,Equa leaves,Small sweet smelling leaves.,2128,True,0,1
767,Pot of cream,Fresh cream.,2130,True,0,1
768,Raw beef,I need to cook this first.,2132,False,13000,1
769,Raw rat meat,I need to cook this first.,2134,False,0,1
770,Raw bear meat,I need to cook this first.,2136,False,0,1
771,Raw chicken,I need to cook this first.,2138,False,0,1
772,Cooked chicken,Mmm this looks tasty.,2140,False,0,2
773,Cooked meat,Mmm this looks tasty.,2142,False,0,2
774,Swamp toad,A slippery little blighter.,2150,True,0,1
775,Toad's legs,They're a gnome delicacy apparently.,2152,True,0,1
776,King worm,They're a gnome delicacy apparently.,2162,True,0,1
777,Batta tin,A deep tin used for baking gnome battas in.,2164,True,0,6
778,Crunchy tray,A shallow tray used for baking crunchies in.,2165,True,0,6
779,Gnomebowl mould,A large ovenproof bowl.,2166,True,0,6
780,Gianne's cook book,Aluft Gianne's favorite dishes.,2167,True,0,1
781,Gnome spice,It's Aluft Gianne's secret mix of spices.,2169,True,0,1
782,Gianne dough,It's made from a secret recipe.,2171,True,0,1
783,Chocolate bomb,"Full of creamy, chocolately goodness.",2185,True,0,1
784,Tangled toad's legs,It actually smells quite good.,2187,True,0,1
785,Worm hole,It actually smells quite good.,2191,True,0,1
786,Veg ball,This looks pretty healthy.,2195,True,0,1
787,Rock-climbing boots,These boots were made for trolling.,2203,True,0,1
788,Worm crunchies,It actually smells quite good.,2205,True,0,1
789,Chocchip crunchies,Yum... smells good.,2209,True,0,1
790,Spicy crunchies,Yum... smells spicy.,2213,True,0,1
791,Toad crunchies,It actually smells quite good.,2217,True,0,1
792,Premade w'm batta,A premade Worm Batta.,2219,True,0,72
793,Premade t'd batta,A Premade Toad Batta.,2221,True,0,72
794,Premade c+t batta,A Premade Cheese and Tomato Batta.,2223,True,0,72
795,Premade fr't batta,A premade Fruit Batta.,2225,True,0,72
796,Premade veg batta,A Premade Vegetable Batta.,2227,True,0,72
797,Premade choc bomb,A premade Chocolate Bomb.,2229,True,0,96
798,Premade ttl,A premade Tangled Toads Legs.,2231,True,0,96
799,Premade worm hole,A premade Worm Hole.,2233,True,0,90
800,Premade veg ball,A premade Vegetable Ball.,2235,True,0,90
801,Premade w'm crun',Some Premade Worm Crunchies.,2237,True,0,51
802,Premade ch' crunch,Some Premade chocchip crunchies.,2239,True,0,51
803,Premade s'y crunch,Some premade Spicy Crunchies.,2241,True,0,51
804,Premade t'd crunch,Some premade Toad Crunchies.,2243,True,0,51
805,Worm batta,It actually smells quite good.,2253,True,0,1
806,Toad batta,It actually smells quite good.,2255,True,0,1
807,Cheese+tom batta,This smells really good.,2259,True,0,1
808,Fruit batta,It actually smells quite good.,2277,True,0,1
809,Vegetable batta,Well... it looks healthy.,2281,True,0,1
810,Pizza base,I need to add some tomato next.,2283,False,0,2
811,Plain pizza,A cheese and tomato pizza.,2289,False,0,24
812,Meat pizza,A pizza with bits of meat on it.,2293,False,0,30
813,Anchovy pizza,A pizza with anchovies.,2297,False,0,36
814,Pineapple pizza,A tropicana pizza.,2301,True,0,60
815,Bread dough,Some uncooked dough.,2307,False,0,2
816,Bread,Nice crispy bread.,2309,False,0,7
817,Pie dish,Deceptively pie shaped.,2313,False,500,2
818,Pie shell,I need to find a filling for this pie.,2315,False,0,2
819,Uncooked apple pie,This would be much tastier cooked.,2317,False,0,10
820,Uncooked meat pie,This would be much healthier cooked.,2319,False,0,5
821,Uncooked berry pie,This would be much more appetising cooked.,2321,False,0,4
822,Apple pie,Mmm Apple pie.,2323,False,0,18
823,Redberry pie,Looks tasty.,2325,False,0,7
824,Meat pie,Not for vegetarians.,2327,False,0,9
825,Raw oomlie,Raw meat from the oomlie bird.,2337,True,0,6
826,Wrapped oomlie,Oomlie meat in a palm leaf pouch.  It just needs to be cooked.,2341,True,0,10
827,Cooked oomlie wrap,Deliciously cooked oomlie meat in a palm leaf pouch.,2343,True,0,21
828,Hammer,Good for hitting things!,2347,False,40,1
829,Bronze bar,It's a bar of bronze.,2349,False,0,5
830,Iron bar,It's a bar of iron.,2351,False,10000,17
831,Steel bar,It's a bar of steel.,2353,False,10000,60
832,Silver bar,It's a bar of silver.,2355,False,0,90
833,Gold bar,It's a bar of gold.,2357,False,10000,180
834,Mithril bar,It's a bar of mithril.,2359,False,10000,180
835,Adamantite bar,It's a bar of adamantite.,2361,False,10000,384
836,Runite bar,It's a bar of runite.,2363,False,0,3000
837,Shield left half,The left half of a dragon square shield.,2366,True,0,66000
838,Shield right half,The right half of a dragon square shield.,2368,True,0,300000
839,Steel studs,A set of studs for leather armour.,2370,True,0,90
840,Attack potion(4),4 doses of Attack potion.,2428,True,0,9
841,Restore potion(4),4 doses of restore potion.,2430,True,0,66
842,Defence potion(4),4 doses of Defence potion.,2432,True,0,90
843,Prayer potion(4),4 doses of Prayer restore  potion.,2434,True,2000,114
844,Super attack(4),4 doses of super Attack potion.,2436,True,2000,135
845,Fishing potion(4),4 doses of Fishing potion.,2438,True,0,150
846,Super strength(4),4 doses of super Strength potion.,2440,True,2000,165
847,Super defence(4),4 doses of super Defence potion.,2442,True,2000,198
848,Ranging potion(4),4 doses of ranging potion.,2444,True,0,216
849,Antipoison(4),4 doses of antipoison potion.,2446,True,0,216
850,Superantipoison(4),4 doses of super antipoison potion.,2448,True,0,216
851,Zamorak brew(4),4 doses of Zamorak brew.,2450,True,0,120
852,Antifire potion(4),4 doses of anti-firebreath potion.,2452,True,0,198
853,Antifire potion(3),3 doses of anti-firebreath potion.,2454,True,0,158
854,Antifire potion(2),2 doses of anti-firebreath potion.,2456,True,0,119
855,Antifire potion(1),1 dose of anti-firebreath potion.,2458,True,0,79
856,Assorted flowers,A posy of flowers.,2460,True,0,60
857,Red flowers,A posy of flowers.,2462,True,0,60
858,Blue flowers,A posy of flowers.,2464,True,0,60
859,Yellow flowers,A posy of flowers.,2466,True,0,60
860,Purple flowers,A posy of flowers.,2468,True,0,60
861,Orange flowers,A posy of flowers.,2470,True,0,60
862,Mixed flowers,A posy of flowers.,2472,True,0,60
863,White flowers,A posy of flowers.,2474,True,0,60
864,Black flowers,A posy of flowers.,2476,True,0,60
865,Lantadyme,A powerful herb.,2481,True,0,41
866,Lantadyme potion (unf),I need another ingredient to finish this Lantadyme potion.,2483,True,0,41
867,Grimy lantadyme,It needs cleaning.,2485,True,0,1
868,Blue d'hide vamb,Vambraces made from 100% real dragonhide.,2487,True,0,1800
869,Red d'hide vamb,Vambraces made from 100% real dragonhide.,2489,True,0,2160
870,Black d'hide vamb,Vambraces made from 100% real dragonhide.,2491,True,0,2592
871,Blue d'hide chaps,Made from 100% real dragonhide.,2493,True,0,2592
872,Red d'hide chaps,Made from 100% real dragonhide.,2495,True,0,3108
873,Black d'hide chaps,Made from 100% real dragonhide.,2497,True,70,3732
874,Blue d'hide body,Made from 100% real dragonhide.,2499,True,125,5616
875,Red d'hide body,Made from 100% real dragonhide.,2501,True,0,6738
876,Black d'hide body,Made from 100% real dragonhide.,2503,True,70,8088
877,Blue dragon leather,It's a piece of prepared blue dragonhide.,2505,True,0,42
878,Red dragon leather,It's a piece of prepared red dragonhide.,2507,True,0,54
879,Black dragon leather,It's a piece of prepared black dragonhide.,2509,True,0,66
880,Brown toy horsey,A brown toy horse.,2520,False,0,60
881,White toy horsey,A white toy horse.,2522,False,0,60
882,Black toy horsey,A black toy horse.,2524,False,0,60
883,Grey toy horsey,A grey toy horse.,2526,False,0,60
884,Ring of recoil,An enchanted ring.,2550,True,0,540
885,Ring of dueling(8),An enchanted ring.,2552,True,0,765
886,Ring of forging,An enchanted ring.,2568,True,0,1215
887,Ring of life,An enchanted ring.,2570,True,0,2115
888,Ring of wealth,It can be charged at the Fountain of Rune.,2572,True,0,10575
889,Ranger boots,Lightweight boots ideal for rangers.,2577,True,6,120
890,Wizard boots,Slightly magical boots.,2579,True,0,120
891,Robin hood hat,Endorsed by Robin Hood.,2581,True,0,270
892,Black platebody (t),Black plate body with trim.,2583,False,0,2304
893,Black platelegs (t),Black platelegs with trim.,2585,False,0,1152
894,Black full helm (t),Black full helmet with trim.,2587,False,0,634
895,Black kiteshield (t),Black kiteshield with trim.,2589,False,0,979
896,Black platebody (g),Black platebody with gold trim.,2591,False,0,2304
897,Black platelegs (g),Black platelegs with gold trim.,2593,False,0,1152
898,Black full helm (g),Black full helmet with gold trim.,2595,False,0,634
899,Black kiteshield (g),Black kiteshield with gold trim.,2597,False,0,979
900,Adamant platebody (t),Adamant platebody with trim.,2599,False,0,9984
901,Adamant platelegs (t),Adamant platelegs with trim.,2601,False,0,3840
902,Adamant kiteshield (t),Adamant kiteshield with trim.,2603,False,0,3264
903,Adamant full helm (t),Adamant full helmet with trim.,2605,False,0,2112
904,Adamant platebody (g),Adamant platebody with gold trim.,2607,False,0,9984
905,Adamant platelegs (g),Adamant platelegs with gold trim.,2609,False,0,3840
906,Adamant kiteshield (g),Adamant kiteshield with gold trim.,2611,False,0,3264
907,Adamant full helm (g),Adamant full helmet with gold trim.,2613,False,0,2112
908,Rune platebody (g),Rune plate body with gold trim.,2615,False,0,39000
909,Rune platelegs (g),Rune platelegs with gold trim.,2617,False,0,38400
910,Rune full helm (g),Rune full helmet with gold trim.,2619,False,0,21120
911,Rune kiteshield (g),Rune kiteshield with gold trim.,2621,False,8,32640
912,Rune platebody (t),Rune platebody with trim.,2623,False,0,39000
913,Rune platelegs (t),Rune platelegs with trim.,2625,False,0,38400
914,Rune full helm (t),Rune full helmet with trim.,2627,False,0,21120
915,Rune kiteshield (t),Rune kiteshield with trim.,2629,False,0,32640
916,Highwayman mask,Your money or your life!,2631,True,0,24
917,Blue beret,Parlez-vous francais?,2633,True,0,48
918,Black beret,Parlez-vous francais?,2635,True,0,48
919,White beret,Parlez-vous francais?,2637,True,0,48
920,Tan cavalier,All for one and one for all!,2639,True,0,120
921,Dark cavalier,All for one and one for all!,2641,True,0,120
922,Black cavalier,All for one and one for all!,2643,True,0,120
923,Red headband,A minimalist's hat.,2645,True,0,24
924,Black headband,A minimalist's hat.,2647,True,0,24
925,Brown headband,A minimalist's hat.,2649,True,0,24
926,Pirate's hat,Shiver me timbers!,2651,True,0,108
927,Zamorak platebody,Rune platebody in the colours of Zamorak.,2653,False,0,39000
928,Zamorak platelegs,Rune platelegs in the colours of Zamorak.,2655,False,0,38400
929,Zamorak full helm,Rune full helmet in the colours of Zamorak.,2657,False,0,21120
930,Zamorak kiteshield,Rune kiteshield in the colours of Zamorak.,2659,False,0,32640
931,Saradomin platebody,Rune platebody in the colours of Saradomin.,2661,False,0,39000
932,Saradomin platelegs,Rune platelegs in the colours of Saradomin.,2663,False,0,38400
933,Saradomin full helm,Rune full helmet in the colours of Saradomin.,2665,False,0,21120
934,Saradomin kiteshield,Rune kiteshield in the colours of Saradomin.,2667,False,0,32640
935,Guthix platebody,Rune plate body in the colours of Guthix.,2669,False,0,39000
936,Guthix platelegs,Rune plate legs in the colours of Guthix.,2671,False,0,38400
937,Guthix full helm,A rune full face helmet in the colours of Guthix.,2673,False,0,21120
938,Guthix kiteshield,Rune kiteshield in the colours of Guthix.,2675,False,0,32640
939,Wolf bones,Bones of a recently slain wolf.,2859,True,0,1
940,Wolfbone arrowtips,I can make an ogre arrow with these.,2861,True,0,2
941,Achey tree logs,These logs are longer than normal.,2862,True,0,2
942,Ogre arrow shaft,A wooden arrow shaft.,2864,True,0,1
943,Flighted ogre arrow,A wooden arrow shaft with four flights attached.,2865,True,0,1
944,Ogre arrow,A large ogre arrow with a bone tip.,2866,True,0,15
945,Raw chompy,I need to cook this first.,2876,True,0,51
946,Cooked chompy,It might look delicious to an ogre.,2878,True,0,78
947,Elemental shield,A magic shield.,2890,True,0,12
948,Grey boots,Very stylish!,2894,True,0,300
949,Grey robe top,Some fine werewolf clothing.,2896,True,0,300
950,Grey robe bottoms,Made by werewolves for werewolves.,2898,True,0,300
951,Grey hat,A silly pointed hat.,2900,True,0,300
952,Grey gloves,These will keep my hands warm!,2902,False,0,300
953,Red boots,Very stylish!,2904,True,0,300
954,Red robe top,Some fine werewolf clothing.,2906,True,0,300
955,Red robe bottoms,Made by werewolves for werewolves.,2908,True,0,300
956,Red hat,A silly pointed hat.,2910,True,0,300
957,Red gloves,These will keep my hands warm!,2912,False,0,300
958,Yellow boots,Very stylish!,2914,True,0,300
959,Yellow robe top,Some fine werewolf clothing.,2916,True,0,300
960,Yellow robe bottoms,Made by werewolves for werewolves.,2918,True,0,300
961,Yellow hat,A silly pointed hat.,2920,True,0,300
962,Yellow gloves,These will keep my hands warm!,2922,False,0,300
963,Teal boots,Very stylish!,2924,True,0,300
964,Teal robe top,Some fine werewolf clothing.,2926,True,0,300
965,Teal robe bottoms,Made by werewolves for werewolves.,2928,True,0,300
966,Teal hat,A silly pointed hat.,2930,True,0,300
967,Teal gloves,These will keep my hands warm!,2932,False,0,300
968,Purple boots,Very stylish!,2934,True,0,300
969,Purple robe top,Some fine werewolf clothing.,2936,True,0,300
970,Purple robe bottoms,Made by werewolves for werewolves.,2938,True,0,300
971,Purple hat,A silly pointed hat.,2940,True,0,300
972,Purple gloves,These will keep my hands warm!,2942,False,0,300
973,Moonlight mead,A foul smelling brew.,2955,True,0,3
974,Silver sickle,It's a silver sickle.,2961,True,15,105
975,Mort myre fungus,A mushroom from the swamps of Mort Myre.,2970,True,0,1
976,Mort myre stem,A cutting from a budding branch.,2972,True,0,1
977,Mort myre pear,A pear picked from a dying bush in Mort Myre.,2974,True,0,1
978,Sickle mould,Used to make sickles.,2976,True,0,6
979,Pirate's hook,You should see the shark...,2997,True,0,53
980,Toadflax,A useful herb.,2998,True,0,29
981,Snapdragon,A powerful herb.,3000,True,0,35
982,Toadflax potion (unf),I need another ingredient to finish this Toadflax potion.,3002,True,0,29
983,Snapdragon potion (unf),I need another ingredient to finish this Snapdragon potion.,3004,True,0,35
984,Energy potion(4),4 doses of energy potion.,3008,True,2000,88
985,Energy potion(3),3 doses of energy potion.,3010,True,2000,66
986,Energy potion(2),2 doses of energy potion.,3012,True,2000,43
987,Energy potion(1),1 dose of energy potion.,3014,True,2000,22
988,Super energy(4),4 doses of super energy potion.,3016,True,0,180
989,Super energy(3),3 doses of super energy potion.,3018,True,0,138
990,Super energy(2),2 doses of super energy potion.,3020,True,0,96
991,Super energy(1),1 dose of super energy potion.,3022,True,0,54
992,Super restore(4),4 doses of super restore potion.,3024,True,2000,180
993,Super restore(3),3 doses of super restore potion.,3026,True,2000,144
994,Super restore(2),2 doses of super restore potion.,3028,True,2000,108
995,Super restore(1),1 dose of super restore potion.,3030,True,2000,72
996,Agility potion(4),4 doses of Agility potion.,3032,True,0,120
997,Agility potion(3),3 doses of Agility potion.,3034,True,0,90
998,Agility potion(2),2 doses of Agility potion.,3036,True,0,60
999,Agility potion(1),1 dose of Agility potion.,3038,True,0,30
1000,Magic potion(4),4 doses of Magic potion.,3040,True,0,180
1001,Magic potion(3),3 doses of Magic potion.,3042,True,0,150
1002,Magic potion(2),2 doses of Magic potion.,3044,True,0,120
1003,Magic potion(1),1 dose of Magic potion.,3046,True,0,90
1004,Grimy toadflax,It needs cleaning.,3049,True,0,1
1005,Grimy snapdragon,It needs cleaning.,3051,True,0,1
1006,Lava battlestaff,It's a slightly magical stick.,3053,True,8,10200
1007,Mystic lava staff,It's a slightly magical stick.,3054,True,0,27000
1008,Black dart,A deadly throwing dart with a black tip.,3093,True,0,1
1009,Black dart(p),A deadly poisoned dart with a black tip.,3094,True,0,11
1010,Bronze claws,A set of fighting claws.,3095,True,0,9
1011,Iron claws,A set of fighting claws.,3096,True,0,30
1012,Steel claws,A set of fighting claws.,3097,True,0,105
1013,Black claws,A set of fighting claws.,3098,True,0,216
1014,Mithril claws,A set of fighting claws.,3099,True,0,285
1015,Adamant claws,A set of fighting claws.,3100,True,0,720
1016,Rune claws,A set of fighting claws.,3101,True,0,7200
1017,Climbing boots,Boots made for climbing.,3105,True,15,7
1018,Spiked boots,Climbing boots with spikes.,3107,True,0,18
1019,Granite shield,A solid stone shield.,3122,True,0,33600
1020,Shaikahan bones,Large glistening bones which glow with a pale yellow aura.,3123,True,0,1
1021,Jogre bones,Fairly big bones which smell distinctly of Jogre.,3125,True,0,1
1022,Potato cactus,How am I supposed to eat that?!,3138,True,0,1
1023,Dragon chainbody,A series of connected metal rings.,3140,True,0,150000
1024,Raw karambwan,A raw green octopus.,3142,True,0,120
1025,Cooked karambwan,Cooked octopus. It looks very nutritious.,3144,True,0,150
1026,Karambwan vessel,"A wide bodied and thin necked vessel, encrusted with sea salt.",3157,True,0,3
1027,Karambwan vessel,This Karambwan Vessel is loaded with Karambwanji.,3159,True,0,24
1028,Sliced banana,You swear you had more than three slices before.,3162,False,0,1
1029,Monkey bones,These are small monkey bones.,3183,False,0,1
1030,Cleaning cloth,A spirit soaked piece of silk which can be used to remove poison.,3188,True,0,36
1031,Bronze halberd,A bronze halberd.,3190,True,0,48
1032,Iron halberd,An iron halberd.,3192,True,0,168
1033,Steel halberd,A steel halberd.,3194,True,0,600
1034,Black halberd,A black halberd.,3196,True,0,1152
1035,Mithril halberd,A mithril halberd.,3198,True,0,1560
1036,Adamant halberd,An adamant halberd.,3200,True,0,3840
1037,Rune halberd,A rune halberd.,3202,True,0,38400
1038,Dragon halberd,A dragon halberd.,3204,True,0,150000
1039,Limestone,Some limestone.,3211,True,0,6
1040,Barrel,An empty barrel.,3216,True,0,1
1041,Raw rabbit,Might taste better cooked.,3226,True,0,12
1042,Cooked rabbit,Mmm this looks tasty.,3228,True,0,2
1043,Bark,Bark from a hollow tree.,3239,True,0,1
1044,Vampire dust,That used to be a vampire!,3325,True,0,1
1045,Myre snelm,A marshy coloured snail shell helmet.,3327,True,0,180
1046,Blood'n'tar snelm,A red and black Snail shell helmet.,3329,True,0,180
1047,Ochre snelm,A muddy yellow snail shell helmet.,3331,True,0,180
1048,Bruise blue snelm,A moody blue snail shell helmet.,3333,True,0,180
1049,Broken bark snelm,An orange and bark coloured snail shell helmet.,3335,True,0,180
1050,Myre snelm,A swamp coloured pointed snail shell helmet.,3337,True,0,180
1051,Blood'n'tar snelm,A red and black pointed snail shell helmet.,3339,True,0,180
1052,Ochre snelm,A muddy yellow coloured pointed snail shell helmet.,3341,True,0,180
1053,Bruise blue snelm,A moody blue pointed snail shell helmet.,3343,True,0,180
1054,Blamish myre shell,"A large 'Myre' coloured blamish snail shell, looks protective.",3345,True,0,90
1055,Blamish red shell,"A large red and black blamish snail shell, looks protective.",3347,True,0,90
1056,Blamish ochre shell,"A large muddy yellow coloured blamish snail shell, looks protective.",3349,True,0,90
1057,Blamish blue shell,"A large blue coloured blamish snail shell, looks protective.",3351,True,0,90
1058,Blamish bark shell,"A large bark coloured blamish snail shell, looks protective.",3353,True,0,90
1059,Blamish myre shell,"A large 'Myre' coloured blamish snail shell, looks protective.",3355,True,0,90
1060,Blamish red shell,"A large red coloured blamish snail shell, looks protective.",3357,True,0,90
1061,Blamish ochre shell,"A large ochre coloured blamish snail shell, looks protective.",3359,True,0,90
1062,Blamish blue shell,"A large blue coloured blamish snail shell, looks protective.",3361,True,0,90
1063,Thin snail,"The thin, slimy corpse of a deceased giant snail.",3363,True,0,3
1064,Lean snail,"The lean, slimy corpse of a deceased giant snail.",3365,True,0,6
1065,Fat snail,"The fat, slimy corpse of a deceased giant snail.",3367,True,0,9
1066,Thin snail meat,A succulently slimy slice of sumptuous snail.,3369,True,0,6
1067,Lean snail meat,A succulently slimy slice of sumptuous snail.,3371,True,0,12
1068,Fat snail meat,A succulently slimy slice of sumptuous snail.,3373,True,0,18
1069,Raw slimy eel,A slime covered eel - yuck!,3379,True,0,1
1070,Cooked slimy eel,"A cooked slimy eel - not delicious, but pretty nutritious.",3381,True,0,1
1071,Splitbark helm,A wooden helmet.,3385,True,0,6000
1072,Splitbark body,Provides good protection.,3387,True,70,27000
1073,Splitbark legs,These should protect my legs.,3389,True,0,24000
1074,Splitbark gauntlets,These should keep my hands safe.,3391,True,0,3000
1075,Splitbark boots,Wooden foot protection.,3393,True,0,3000
1076,Loar remains,The remains of a deadly shade.,3396,True,0,1
1077,Phrin remains,The remains of a deadly shade.,3398,True,0,1
1078,Riyl remains,The remains of a deadly shade.,3400,True,0,1
1079,Asyn remains,The remains of a deadly shade.,3402,True,0,1
1080,Fiyr remains,The remains of a deadly shade.,3404,True,0,1
1081,Unfinished potion,I need another ingredient to finish this potion.,3406,True,0,7
1082,Serum 207 (4),4 doses serum 207 as described in Herbi Flax's diary.,3408,True,0,8
1083,Serum 207 (3),3 doses serum 207 as described in Herbi Flax's diary.,3410,True,0,8
1084,Serum 207 (2),2 doses serum 207 as described in Herbi Flax's diary.,3412,True,0,8
1085,Serum 207 (1),1 dose serum 207 as described in Herbi Flax's diary.,3414,True,0,7
1086,Limestone brick,A well carved limestone brick.,3420,True,0,12
1087,Olive oil(4),4 doses of olive oil.,3422,True,0,13
1088,Olive oil(3),3 doses of olive oil.,3424,True,0,12
1089,Olive oil(2),2 doses of olive oil.,3426,True,0,10
1090,Olive oil(1),1 dose of olive oil.,3428,True,0,8
1091,Sacred oil(4),4 doses of sacred Oil.,3430,True,0,60
1092,Sacred oil(3),3 doses of sacred Oil.,3432,True,0,54
1093,Sacred oil(2),2 doses of sacred Oil.,3434,True,0,45
1094,Sacred oil(1),1 dose of sacred Oil.,3436,True,0,36
1095,Pyre logs,Logs prepared with sacred oil for a funeral pyre.,3438,True,0,5
1096,Oak pyre logs,Oak logs prepared with sacred oil for a funeral pyre.,3440,True,0,24
1097,Willow pyre logs,Willow logs prepared with sacred oil for a funeral pyre.,3442,True,0,48
1098,Maple pyre logs,Maple logs prepared with sacred oil for a funeral pyre.,3444,True,0,96
1099,Yew pyre logs,Yew logs prepared with sacred oil for a funeral pyre.,3446,True,0,192
1100,Magic pyre logs,Magic logs prepared with sacred oil for a funeral pyre.,3448,True,0,384
1101,Fine cloth,Amazingly untouched by time.,3470,True,0,300
1102,Black plateskirt (t),Black plateskirt with trim.,3472,False,0,1152
1103,Black plateskirt (g),Black plateskirt with gold trim.,3473,False,0,1152
1104,Adamant plateskirt (t),Adamant plateskirt with trim.,3474,False,0,3840
1105,Adamant plateskirt (g),Adamant plateskirt with gold trim.,3475,False,0,3840
1106,Rune plateskirt (g),Rune plateskirt with gold trim.,3476,False,0,38400
1107,Rune plateskirt (t),Rune plateskirt with trim.,3477,False,0,38400
1108,Zamorak plateskirt,Rune plateskirt in the colours of Zamorak.,3478,False,0,38400
1109,Saradomin plateskirt,Rune plateskirt in the colours of Saradomin.,3479,False,0,38400
1110,Guthix plateskirt,Rune plateskirt in the colours of Guthix.,3480,False,0,38400
1111,Gilded platebody,Rune platebody with gold plate.,3481,True,0,39000
1112,Gilded platelegs,Rune platelegs with gold plate.,3483,True,0,38400
1113,Gilded plateskirt,Rune plateskirt with gold plate.,3485,True,0,38400
1114,Gilded full helm,Rune full helmet with gold plate.,3486,True,0,21120
1115,Gilded kiteshield,Rune kiteshield with gold plate.,3488,True,0,32640
1116,Flamtaer hammer,An exquisitely shaped tool specially designed for fixing temples.,3678,True,0,6000
1117,Archer helm,This helmet is worn by archers.,3749,True,0,36000
1118,Berserker helm,This helmet is worn by berserkers.,3751,True,70,36000
1119,Warrior helm,This helmet is worn by warriors.,3753,True,0,36000
1120,Farseer helm,This helmet is worn by farseers.,3755,True,0,36000
1121,Fremennik cyan cloak,The latest fashion in Rellekka.,3759,True,0,150
1122,Fremennik brown cloak,The latest fashion in Rellekka.,3761,True,0,150
1123,Fremennik blue cloak,The latest fashion in Rellekka.,3763,True,0,150
1124,Fremennik green cloak,The latest fashion in Rellekka.,3765,True,0,150
1125,Fremennik brown shirt,The latest in Fremennik fashion.,3767,True,0,150
1126,Fremennik grey shirt,The latest in Fremennik fashion.,3769,True,0,150
1127,Fremennik beige shirt,The latest in Fremennik fashion.,3771,True,0,150
1128,Fremennik red shirt,The latest in Fremennik fashion.,3773,True,0,150
1129,Fremennik blue shirt,The latest in Fremennik fashion.,3775,True,0,150
1130,Fremennik red cloak,The latest fashion in Rellekka.,3777,True,0,150
1131,Fremennik grey cloak,The latest fashion in Rellekka.,3779,True,0,150
1132,Fremennik yellow cloak,The latest fashion in Rellekka.,3781,True,0,150
1133,Fremennik teal cloak,The latest fashion in Rellekka.,3783,True,0,150
1134,Fremennik purple cloak,The latest fashion in Rellekka.,3785,True,0,150
1135,Fremennik pink cloak,The latest fashion in Rellekka.,3787,True,0,150
